6,6,6,6,7,6,2,2,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,2
6,5,6,6,6,5,6,2,0,2,2,2,6,6,6,6,6,6,6,4,6,6,6,6
6,6,6,6,6,6,5,6,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,7,6,6,6,6,6,6,4,6,2,2,2,2,2,2,2,2,2,3,2
6,4,6,6,6,6,6,6,6,6,6,6,2,2,2,0,2,2,1,1,1,2,2,2
2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,14,15,14,14,14,14,14,14,12
2,0,2,2,2,0,2,6,4,2,0,2,2,2,2,14,14,10,10,10,10,10,10,14
2,2,2,3,2,2,2,6,6,2,2,2,2,3,2,14,14,10,10,10,10,11,10,14
2,1,1,2,2,2,2,6,6,2,2,2,2,2,2,12,14,10,10,10,8,10,10,14
2,1,1,2,0,2,2,6,6,2,2,1,1,2,2,14,14,10,10,10,10,10,10,14
2,2,2,2,2,2,2,4,6,2,2,2,1,2,2,14,14,10,10,10,10,10,10,13
2,2,2,2,2,2,2,6,6,2,0,2,2,2,2,13,14,10,8,10,10,10,10,14
2,0,2,2,2,2,2,6,6,2,2,2,2,2,2,14,14,10,10,10,10,10,10,14
2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,14,14,10,10,10,10,11,10,12
2,2,2,2,2,0,2,6,6,6,6,4,6,6,6,14,14,10,10,10,10,10,10,14
2,2,2,1,1,2,2,6,6,2,2,2,2,0,2,14,12,10,8,10,10,10,9,14
2,0,2,1,1,2,2,4,6,2,0,2,2,2,2,14,14,10,10,10,10,9,10,14
2,2,2,2,2,3,2,6,6,2,2,2,2,2,2,14,14,14,14,12,14,14,15,14
